* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 06-24-2022
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 06-24-2022
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 06-24-2022
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 06-24-2022
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 06-24-2022
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 06-24-2022
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 06-24-2022
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 06-24-2022
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 06-24-2022
* Calibration ROI is expired  = No
* Calibration ROI performed on = 06-24-2022
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 06-24-2022
* Chemistry = TAQMAN
* Date Created = 2022-08-17 10:41:07 AM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\coral_05.eds
* Experiment Name = Quantification-TaqMan
* Experiment Run End Time = 2022-08-16 14:42:53 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	PRFLOW	NOISE	HIGHSD	NOAMP	PRFDROP
42	D6	false	T2-03:100	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
42	D6	false	T2-03:100	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	32.532									false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
43	D7	false	positive	C	UNKNOWN	VIC	NFQ-MGB	8.891	8.891									false	0.010	true	3	7	Amp		N	N	N	N	N	N
43	D7	false	positive	D	UNKNOWN	FAM	NFQ-MGB	3.452	3.366	0.122								false	0.010	true	3	3	Amp		N	N	N	N	N	N
44	D8	false	positive	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	8.891									false	0.010	true	3	39	No Amp		Y	Y	Y	N	N	Y
44	D8	false	positive	D	UNKNOWN	FAM	NFQ-MGB	3.279	3.366	0.122								false	0.010	true	3	3	Amp		N	Y	Y	N	N	Y
49	E1	false	T2-09	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
49	E1	false	T2-09	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	N
50	E2	false	T2-09	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
50	E2	false	T2-09	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
51	E3	false	T2-06:10	C	UNKNOWN	VIC	NFQ-MGB	34.588	34.473	0.162								false	0.010	true	3	33	Amp		N	N	N	N	N	N
51	E3	false	T2-06:10	D	UNKNOWN	FAM	NFQ-MGB	33.798	33.798									false	0.010	true	3	32	Inconclusive		N	N	N	N	N	N
52	E4	false	T2-06:10	C	UNKNOWN	VIC	NFQ-MGB	34.359	34.473	0.162								false	0.010	true	3	33	Amp		N	N	N	N	N	N
52	E4	false	T2-06:10	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	33.798									false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
53	E5	false	T2-05:100	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
53	E5	false	T2-05:100	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
54	E6	false	T2-05:100	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
54	E6	false	T2-05:100	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
55	E7	false	negative	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
55	E7	false	negative	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
56	E8	false	negative	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
56	E8	false	negative	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	N
61	F1	false	T2-11	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
61	F1	false	T2-11	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	35.371									false	0.010	true	3	39	No Amp		Y	N	N	N	N	N
62	F2	false	T2-11	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
62	F2	false	T2-11	D	UNKNOWN	FAM	NFQ-MGB	35.371	35.371									false	0.010	true	3	34	Amp		N	N	N	N	N	N
63	F3	false	T2-09:10	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	Y	N
